id,Flag,bat_name_counterpart,bat_category_type,fermi_name_counterpart,fermi_name_counterpart2,fermi_category_type,separation,bat_id,bat_pindex,bat_pindex_errm,bat_pindex_errp,bat_flux,bat_flux_errm,bat_flux_errp,bat_ra,bat_dec,bat_redshift,fermi_id,fermi_pindex_PL,fermi_pindex_PL_err,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_var_index,fermi_ra,fermi_dec,match_with_1FLE,match_4FGLand1FLE_IDmatch,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
1,M,[HB89] 0537-441,Beamed AGN,PKS 0537-441,,BLL,0.06275102,1281,0.88,0.88,0.69,1.49E-11,2.78E-12,2.58E-12,84.632,-44.116,0.894,1134,2.110651731,0.006876438,1.66E-10,2.12E-12,2.12E-12,9772.992188,84.70890045,-44.08620071,2,1,1.28,0.07,0.133,0.0108,2.18E-06,5.53E-07,3.9,12,0.866,0.445,2.15,0.00557,792000,720000,1.12E-10,1.42E-10,32.6,11,1.21E-09,BPL
2,M,[HB89] 0716+714,Beamed AGN,S5 0716+71,,BLL,0.00954256,1307,1.15,0.43,0.4,1.90E-11,2.48E-12,2.68E-12,110.491,71.331,0.3,1462,2.077000141,0.005449378,2.15E-10,2.26E-12,2.26E-12,2733.374756,110.4881973,71.34049988,2,1,1.27,0.06,0.126,0.00846,2.17E-06,4.45E-07,5.1,12,1.15,0.246,2.11,0.0045,1080000,866000,7.07E-11,5.28E-11,42.2,11,5.37E-10,BPL
3,M,Mrk 421,Beamed AGN,Mkn 421,,BLL,0.014182282,526,2.76,0.04,0.03,1.41E-10,2.01E-12,1.11E-12,166.103,38.214,0.03,2305,1.781852484,0.004994708,4.23E-10,4.55E-12,4.55E-12,1349.180176,166.1186981,38.20700073,2,1,2.13,0,-0.0495,0.000817,2.35E-05,2.72E-07,72.2,12,2.75,0.0214,1.78,0.00515,498000,41000,5.04E-12,4.10E-13,8.4,11,1.67E-11,LP
4,M,Mrk 501,Beamed AGN,Mkn 501,,BLL,0.001472863,842,2.39,0.07,0.08,7.16E-11,2.29E-12,2.23E-12,253.472,39.76,0.0337,3802,1.76423347,0.009125564,1.29E-10,2.43E-12,2.43E-12,543.1755371,253.4738007,39.7594986,0,0,2.17,0,-0.0532,0.00155,8.60E-06,1.95E-07,5.4,11,2.39,0.045,1.77,0.00939,6350000,2590000,8.31E-12,1.37E-12,1.2,10,1.55E-11,LP
5,M,BL Lac,Beamed AGN,BL Lac,,BLL,0.017787071,1135,1.76,0.17,0.18,3.49E-11,3.25E-12,2.07E-12,330.688,42.265,0.0686,5413,2.202461958,0.006698354,2.30E-10,2.69E-12,2.69E-12,3523.439941,330.6946106,42.28210068,2,1,1.75,0.01,0.0746,0.0019,2.35E-05,7.78E-07,3,12,1.83,0.00761,2.29,0.00791,378000000,30800000,2.11E-11,7.69E-13,8.5,11,1.22E-10,LP
6,M,1ES 0033+595,Beamed AGN,1ES 0033+595,,bll,0.008312088,20,2.81,0.19,0.22,2.60E-11,1.57E-12,1.13E-12,8.989,59.841,0.086,134,1.761657834,0.020634521,3.99E-11,1.45E-12,1.45E-12,197.9702911,8.982299805,59.83340073,0,0,2.2,0.01,-0.0563,0.00313,3.25E-06,1.61E-07,5.2,11,2.81,0.121,1.76,0.0186,968000,445000,7.62E-13,3.50E-13,2.2,10,9.16E-13,LP
7,A,2MASX J01155048+2515369,Sy1,RX J0115.7+2519,,bll,0.018325901,1223,1.97,0.52,0.66,1.09E-11,3.09E-12,3.02E-12,18.974,25.33,0,283,1.917891979,0.032489352,1.98E-11,9.20E-13,9.20E-13,305.507019,18.95389938,25.33239937,1,1,2.08,0.02,-0.0247,0.0059,1.65E-06,1.80E-07,1.1,11,2.05,0.0188,1.87,0.0389,934000000,596000000,3.40E-12,3.77E-13,1,10,1.45E-11,LP
8,M,SHBL J012308.7+342049,Beamed AGN,1ES 0120+340,,bll,0.020998657,70,2.94,0.48,0.61,1.13E-11,1.62E-12,2.07E-12,20.776,34.371,0.272,306,1.697100043,0.098814383,3.04E-12,4.59E-13,4.59E-13,14.83468819,20.79059982,34.35380173,0,0,2.47,0.04,-0.107,0.0139,4.12E-07,9.30E-08,1.2,10,2.93,0.303,1.59,0.093,8870000,12800000,2.26E-13,2.62E-13,1.3,9,3.04E-13,LP
9,M,B3 0133+388,Beamed AGN,B3 0133+388,,bll,0.051576108,85,1.99,0.69,0.9,7.91E-12,1.84E-12,2.28E-12,24.126,39.05,0,347,1.716868758,0.014746125,5.06E-11,1.69E-12,1.69E-12,61.22666931,24.14229965,39.09999847,0,0,0.45,0.16,0.174,0.0206,2.52E-09,1.68E-09,5.6,11,2,0.238,1.76,0.0122,128000000,1060000000,2.96E-12,2.52E-12,13.1,10,7.25E-12,BPL
10,M,RBS 259,Beamed AGN,1RXS J015658.6-530208,,bll,0.062036669,1234,2.31,0.51,0.6,7.32E-12,2.46E-12,1.56E-12,29.13,-53.036,0,403,1.740683317,0.052457143,5.87E-12,6.21E-13,6.21E-13,45.47267151,29.23279953,-53.03079987,0,0,2.26,0.03,-0.0666,0.00792,5.28E-07,7.68E-08,3.3,10,2.28,0.229,1.73,0.0433,131000000,463000000,1.22E-12,1.03E-12,2.8,9,1.78E-12,LP
