id,Flag,fermi_name_counterpart,fermi_extended_name,fermi_category_type,num_matched,bat_name_counterpart_nearest,bat_category_type_nearest,sep_nearest,bat_name_counterpart,bat_category_type,sep,fermi_idx,fermi_extended_idx,fermi_ra,fermi_dec,fermi_extended_model_major,fermi_extended_model_minor,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_pindex_PL,fermi_pindex_PL_err,fermi_var_index,bat_idx_nearest,bat_idx,bat_flux_errm_nearest_nearest,bat_flux_errp,bat_flux_nearest,bat_pindex_nearest,bat_pindex_errm_nearest,bat_pindex_errp_nearest,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
1,F,LMC,LMC-Galaxy,GAL,9,2MASX J05052442-6734358,Unknown AGN,1.747867545,['SWIFT J045106.8-694803' 'IGR J05007-7047' '2MASX J05052442-6734358' 'LMC X-4' 'RX J0531.2-6609' 'LMC X-1' 'PSR B0540-69' 'XMMU J054134.7-682550' '[RSG2010] A'],['HMXB' 'HMXB' 'Unknown AGN' 'HMXB' 'HMXB' 'HMXB' 'Pulsar' 'HMXB' 'HMXB'],[ 2.75048536  2.55411737  1.74786755  2.64744488  2.73579352  2.01185784  1.88943958  2.02260678  1.91282642],1062,7,80,-68.75,3,3,1.10E-10,3.56E-12,3.56E-12,2.19,0.01,9.521199226,256,[ 240  250  256  282  283  294  296  297  1282 ],2.45E-12,2.38E-12,1.03E-11,2.02,0.49,0.56,1.67,0.03,0.0921,0.00562,1.03E-05,1.03E-06,5.1,12,1.8,0.02,2.52,0.05,1040000000,96800000,7.73E-12,7.97E-13,1.6,11,9.13E-12,2comp
2,F,LMC-FarWest,LMC-FarWest,,1,SWIFT J045106.8-694803,HMXB,0.845564769,,,,996,6,75.25,-69.75,0.9,0.9,1.96E-11,1.19E-12,1.19E-12,2.1,0.04,11.07648087,240,,2.31E-12,1.81E-12,3.30E-11,2.48,0.14,0.14,2.19,0.01,-0.0172,0.0063,4.74E-06,3.99E-07,3.3,11,2.46,0.08,2.1,0.02,143000,96600,3.11E-12,9.64E-13,2.7,10,1.72E-11,2comp
3,F,LMC-30DorWest,LMC-30DorWest,,1,[RSG2010] A,HMXB,0.981902686,,,,1096,8,82.5,-69,0.9,0.9,4.44E-11,1.83E-12,1.83E-12,2.12,0.03,9.131875992,1282,,1.38E-12,1.24E-12,5.66E-12,2.82,0.77,1.15,1.85,0.03,0.0407,0.0073,3.70E-06,5.08E-07,1.2,11,2.71,,1.98,0.01,12600,720000,2.03E-13,,5.6,10,3.39E-11,LP
4,F,LMC-North,LMC-North,,2,LMC X-4,HMXB,0.265540745,['LMC X-4' 'RX J0531.2-6609'],['HMXB' 'HMXB'],[ 0.26554074  0.36271704],1100,9,82.97000122,-66.65000153,0.6,0.6,2.26E-11,1.08E-12,1.08E-12,2,0.03,7.481745243,282,[ 282  283 ],1.38E-12,1.91E-12,3.27E-10,2.83,0.02,0.01,2.53,0,-0.0852,0.00169,1.03E-05,2.48E-07,344.4,11,2.82,0.01,2.01,0.03,3420000,927000,9.52E-12,3.18E-13,354.2,10,1.65E-11,2comp
5,F,SMC,SMC-Galaxy,GAL,5,IGR J01054-7253,HMXB,0.340898182,['RX J0052.1-7319' 'RX J0053.8-7226' 'IGR J01054-7253' 'XTE J0103-728' 'SXP 202'],['HMXB' 'HMXB' 'HMXB' 'HMXB' 'HMXB'],[ 0.73083816  0.48564155  0.34089818  0.36000684  0.44504023],212,0,14.5,-72.75,1.5,1.5,2.53E-11,1.15E-12,1.15E-12,2.2,0.03,11.18403053,45,[ 34  37  45  46  1221 ],1.07E-12,1.60E-12,3.42E-12,3.46,1.17,2.54,0.84,0.42,0.214,0.0653,1.02E-07,1.53E-07,1.5,10,3.3,3.65,2.01,0.01,16700,3300,2.31E-14,3.47E-13,9.6,9,1.38E-11,2comp
6,M,Cen A Lobes,CenA Lobes,RDG,1,Cen A,Beamed AGN,0.549560204,,,,2878,24,201,-43.5,2.5,1,5.18E-11,2.19E-12,2.19E-12,2.51,0.03,12.11449337,670,,3.05E-12,3.69E-12,1.35E-09,1.88,0,0.01,2.22,0,0.119,0.00117,0.000258269,2.16E-06,14.4,11,2.56,,2.29,0,15700,16800,5.45E-11,,1629,10,1.97E-09,LP
7,M,Vela X,Vela X,PWN,2,Vela Pulsar,Pulsar,0.390381836,['Vela Pulsar' 'SWIFT J0837.8-4440'],['Pulsar' 'U2'],[ 0.39038184  0.97026963],1741,16,128.2872009,-45.19010162,0.9,0.9,1.32E-10,1.07E-11,1.07E-11,2.18,0.04,13.61319256,420,[ 420  1330 ],2.33E-12,2.57E-12,1.75E-10,1.97,0.03,0.04,2.05,0.01,0.0284,0.00352,3.96E-05,1.92E-06,1.7,10,1.97,0.02,2.28,0.04,17600000,16100000,7.21E-11,5.16E-12,2,9,3.19E-10,LP
8,M,HESS J1420-607,HESS J1420-607,PWN,1,Rabbit,Pulsar,0.171426373,,,,3107,27,215.0820007,-60.7820015,0.1,0.1,3.66E-11,1.07E-11,1.07E-11,2,0.13,26.42013931,717,,3.98E-12,4.04E-12,8.01E-12,1.53,1.53,1.53,1.91,0.07,0.00927,0.0219,2.12E-06,8.26E-07,2.1,9,1.51,0.68,2.03,0.13,454000,1910000,1.20E-11,2.65E-11,2.3,8,5.97E-11,LP
9,M,MSH 15-52,MSH 15-52,PWN,1,PSR B1509-58,Pulsar,0.04677881,,,,3331,31,228.5709991,-59.1629982,0.2,0.2,5.33E-11,2.09E-12,2.09E-12,1.83,0.03,7.66834259,763,,2.59E-12,2.29E-12,2.60E-10,1.85,0.02,0.03,2.11,0.01,0.0659,0.00408,5.54E-05,2.25E-06,30.9,11,2.02,0.01,2.24,0,125000,,8.29E-11,3.54E-12,28.3,10,4.25E-10,User
10,M,HESS J1616-508,HESS J1616-508,PWN,1,PSR J1617-5055,Pulsar,0.19638459,,,,3588,37,244.0599976,-50.90999985,0.3,0.3,1.15E-10,6.19E-12,6.19E-12,2.05,0.03,5.779112339,798,,2.79E-12,2.40E-12,1.53E-11,2.05,0.46,0.51,1.85,0.02,0.0274,0.00641,7.08E-06,7.51E-07,0.7,10,1.9,0.02,2.08,0.06,1810000000,1540000000,8.51E-12,7.70E-13,0.6,9,6.60E-11,LP
